year,Song Name,Authors,Album,Link
1988,Fever,Peggy Lee,The Best Of Peggy Lee,https://open.spotify.com/track/2CeqxyOZEyiL6pTDYZ9gPH
1988,Boys - Summertime Love,Sabrina,Sabrina,https://open.spotify.com/track/1uI848raFaNWwe9HjHpjQ5
1988,I Should Be So Lucky,Kylie Minogue,Kylie,https://open.spotify.com/track/1MK5FOmm5ppLIS2Ga3jHlT
1989,Pump Up The Jam,Technotronic,Pump Up The Jam,https://open.spotify.com/track/21qnJAMtzC6S5SESuqQLEK
1989,Love Is Strange,Mickey & Sylvia,Love Is Strange & Other Hits,https://open.spotify.com/track/06nE565N1lmMjlMQAnRuV9
1990,Groove Is in the Heart,Deee-Lite,World Clique,https://open.spotify.com/track/2He3NOyqtLNE3RQPpeDdSb
1990,U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
1991,Two Princes,Spin Doctors,Pocket Full Of Kryptonite (Anniversary Edition),https://open.spotify.com/track/0cuq829zRNq4AEdmDJA4aw
1991,Smells Like Teen Spirit,Nirvana,Nevermind,https://open.spotify.com/track/75aLTVBSGIquqzQ6AkmK3Q
1991,Something In The Way,Nirvana,Nevermind (Deluxe Edition),https://open.spotify.com/track/16LgXyNShQbrqBRF4TT1Sr
1992,September,"Earth, Wind & Fire",The Eternal Dance,https://open.spotify.com/track/5nNmj1cLH3r4aA4XDJ2bgY
1992,Would I Lie To You?,Charles & Eddie,Duophonic,https://open.spotify.com/track/3PkvYP6223QO3xlW2THd1x
1993,"What Is Love - 7"" Mix",Haddaway,What Is Love (Remixes),https://open.spotify.com/track/2ahnofp2LbBWDXcJbMaSTu
1994,Rasputin,Boney M.,Daddy Cool,https://open.spotify.com/track/5lWSa1rmuSL6OBPOnkAqoa
1994,Zombie,The Cranberries,No Need To Argue,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF
1994,Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),https://open.spotify.com/track/2g8HN35AnVGIk7B8yMucww
1995,Scatman (ski-ba-bop-ba-dop-bop),Scatman John,Scatman's World,https://open.spotify.com/track/623rRTKwGmgjH6sjE9uWLh
1995,Beautiful Life,Ace of Base,The Bridge,https://open.spotify.com/track/74jTexO94dFGyXGyeu8krd
1995,Lemon Tree,Fools Garden,Dish of the Day,https://open.spotify.com/track/2epbL7s3RFV81K5UhTgZje
1995,Gangsta's Paradise (feat. L.V.),"Coolio, L.V.",Gangsta's Paradise,https://open.spotify.com/track/3u9fHuAtjMY1RW2mZfO4Cf
1995,Sweet Dreams (Are Made Of This),Marilyn Manson,Smells Like Children,https://open.spotify.com/track/1ENLIbxO4Uma773neTHxbp
1995,Lemon Tree,Fools Garden,Dish Of The Day,https://open.spotify.com/track/4fXGWiVhlOLdhwRDP6pIFG
1996,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Another Level,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ
1996,Be My Lover,La Bouche,Sweet Dreams,https://open.spotify.com/track/7FoUzKTSQp25oe32pY9z5p
